Станция,Долгота,Широта
Нагорная,37.610397,55.672962
Выставочная,37.542641,55.750243
Бунинская аллея,37.515899,55.537977
Рижская,37.636114,55.792494
Новоясеневская,37.553017,55.601947
Бауманская,37.67904,55.772405
Бульвар Рокоссовского,37.732227,55.814916
Черкизовская,37.744863,55.802787
Коньково,37.519156,55.631857
Менделеевская,37.599141,55.781999
улица Дмитриевского,37.879045,55.710311
Раменки,37.498725,55.697691
Баррикадная,37.581242,55.760793
Багратионовская,37.497042,55.743544
Бабушкинская,37.664341,55.870641
Кропоткинская,37.604217,55.745297
Сухаревская,37.63285,55.772315
Красные ворота,37.6478,55.768307
Печатники,37.728338,55.692921
Рязанский проспект,37.792694,55.716139
Римская,37.679996,55.747027
Александровский сад,37.608775,55.752255
Ленинский проспект,37.58499,55.70678
Чеховская,37.608493,55.765747
Щёлковская,37.798261,55.809962
Ховрино,37.480768,55.878273
Шелепиха,37.524067,55.757116
Площадь Гагарина,37.585833,55.706944
Лихоборы,37.561589,55.855143
Хорошёво,37.507222,55.777222
Соколиная Гора,37.745278,55.77
Локомотив,37.745742,55.803219
Балтийская,37.496111,55.825833
Угрешская,37.697778,55.718333
Андроновка,37.734444,55.741111
Измайлово,37.742778,55.788611
Лужники,37.563056,55.720278
Новохохловская,37.716111,55.723889
ЗИЛ,37.648333,55.698333
Верхние Котлы,37.618889,55.69
Белокаменная,37.700556,55.83
Ростокино,37.667778,55.839444
Стрешнево,37.476699,55.814204
Крымская,37.605,55.690038
Петровский парк,37.557322,55.791957
ЦСКА,37.533301,55.786602
Озёрная,37.4495,55.6698
Говорово,37.4174,55.6588
Беломорская,37.475692,55.865369
Зорге,37.504444,55.787778
Панфиловская,37.498889,55.799167
Коптево,37.520037,55.839637
Филатов луг,37.407995,55.601177
Прокшино,37.43322,55.586456
Ольховая,37.459047,55.56898
Коммунарка,37.46865,55.560071
Лефортово,37.706757,55.764693
Зюзино,37.57369,55.655717
Народное Ополчение,37.485071,55.775697
Мнёвники,37.47139,55.761148
Давыдково,37.45177,55.71517
Аминьевская,37.464931,55.697189
Новаторская,37.52218,55.669823
Варшавская,37.619522,55.653294
